epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1121,1.13938,4.33482,0.93914,0.00139,0.29216,0.00109,0.00076,0.8092,4.22329,0.89078,4.287e-05,4.287e-05,4.287e-05
2,94.7033,0.95457,3.99477,0.8657,0.00618,0.73246,0.00644,0.00485,1.06342,4.16758,0.87948,9.80494e-05,9.80494e-05,9.80494e-05
3,132.335,1.01572,3.21465,0.85759,0.01037,0.94737,0.01162,0.00885,0.75307,4.02888,0.83899,0.000150965,0.000150965,0.000150965
4,169.462,0.94535,1.9182,0.83668,0.01121,0.96491,0.01399,0.01044,0.8627,3.88039,0.83316,0.000201618,0.000201618,0.000201618
5,205.832,0.82575,1.70019,0.81374,0.01153,0.96491,0.01424,0.01132,0.74138,3.82732,0.8265,0.000250006,0.000250006,0.000250006
6,244.665,0.79401,1.46716,0.82255,0.01162,0.96491,0.01427,0.01109,0.68377,3.76495,0.81351,0.000296132,0.000296132,0.000296132
7,287.839,0.79306,1.47795,0.82028,0.01205,0.98684,0.01469,0.01131,0.74596,3.66054,0.81283,0.000339993,0.000339993,0.000339993
8,332.773,0.78134,1.28247,0.85412,0.01168,0.99123,0.01385,0.01146,0.59525,3.56131,0.79959,0.000381592,0.000381592,0.000381592
9,372.674,0.79401,1.21857,0.84112,0.01107,0.98684,0.01237,0.01001,0.62836,3.5631,0.80886,0.000420926,0.000420926,0.000420926
10,411.831,0.73025,1.14763,0.86141,0.01063,1,0.01141,0.00954,0.58316,3.50534,0.80243,0.000457997,0.000457997,0.000457997
11,450.389,0.71251,1.03756,0.82204,0.01036,0.99561,0.23226,0.18635,0.68131,3.43284,0.79737,0.000492805,0.000492805,0.000492805
12,487.673,0.67013,0.97144,0.81474,0.01015,1,0.55045,0.47864,0.58427,3.30316,0.7967,0.000525349,0.000525349,0.000525349
13,525.942,0.68823,0.86737,0.80382,0.00969,0.97895,0.64693,0.5426,0.59897,3.18565,0.79985,0.000555629,0.000555629,0.000555629
14,565.557,0.70628,0.90436,0.81342,0.00974,0.98333,0.71189,0.60072,0.5915,3.14562,0.79934,0.000583646,0.000583646,0.000583646
15,603.946,0.65225,0.88947,0.83403,0.00978,0.99561,0.86464,0.7674,0.5465,3.04975,0.78962,0.0006094,0.0006094,0.0006094
16,643.478,0.669,0.88393,0.83147,0.00992,1,0.93287,0.81266,0.55801,2.89951,0.79308,0.00063289,0.00063289,0.00063289
17,683.174,0.65545,0.83087,0.8348,0.00991,1,0.99487,0.87484,0.57301,2.76253,0.79384,0.000654116,0.000654116,0.000654116
18,721.673,0.60576,0.81892,0.81964,0.0101,1,0.99461,0.88076,0.5459,2.63569,0.78929,0.000673079,0.000673079,0.000673079
19,759.092,0.55486,0.7742,0.80889,0.01012,1,0.99457,0.82969,0.62988,2.48533,0.79503,0.000689778,0.000689778,0.000689778
20,796.439,0.60732,0.78116,0.82702,0.66013,1,0.99459,0.84853,0.5995,2.36882,0.79574,0.000704214,0.000704214,0.000704214
21,833.186,0.63312,0.8081,0.81925,0.99789,0.6797,0.99433,0.86267,0.5598,2.29109,0.80208,0.000716386,0.000716386,0.000716386
22,869.703,0.61766,0.79881,0.81648,1,0.54894,0.99449,0.86075,0.59634,2.13914,0.80713,0.000726295,0.000726295,0.000726295
23,907.579,0.61736,0.77241,0.80922,0.99926,0.69582,0.99496,0.87761,0.5478,1.96426,0.7985,0.00073394,0.00073394,0.00073394
24,944.468,0.57958,0.70987,0.81867,0.99572,0.80171,0.995,0.87886,0.495,1.81611,0.78071,0.000739322,0.000739322,0.000739322
25,983.752,0.62368,0.75646,0.81186,0.99449,0.90819,0.99496,0.90246,0.48464,1.64018,0.77324,0.00074244,0.00074244,0.00074244
26,1026.91,0.62657,0.79833,0.82682,0.98815,0.9817,0.995,0.87025,0.53281,1.56037,0.77792,0.000721645,0.000721645,0.000721645
27,1070.96,0.58951,0.74747,0.80051,0.98394,0.98934,0.995,0.87165,0.53277,1.48864,0.77397,0.000693351,0.000693351,0.000693351
28,1115.12,0.57675,0.7399,0.82312,0.98696,0.99335,0.995,0.88085,0.50786,1.3256,0.7734,0.000665057,0.000665057,0.000665057
29,1152.98,0.52766,0.70843,0.81848,0.989,0.99486,0.995,0.9103,0.47268,1.12944,0.76967,0.000636762,0.000636762,0.000636762
30,1192.15,0.53493,0.67435,0.81415,0.98997,0.99414,0.995,0.92113,0.44162,0.98508,0.76582,0.000608468,0.000608468,0.000608468
31,1233.17,0.53307,0.70119,0.80248,0.98998,0.99242,0.995,0.91819,0.43192,0.96091,0.76305,0.000580174,0.000580174,0.000580174
